strand	搁浅;陷入困境
consistent	一致
persistent	坚持
instruct	通知;命令;教，讲授;教导，指导
respective	各自的，分别的
optimal	最佳的，最优的;最理想的
evict	依法驱逐（房客等）;依法收回（房屋等）
essence	<div>[ˈɛsəns]<br></div>n.香精;本质，实质;精华，精髓<br><div><br></div>
bunch	一串，一群;一帮
adequate	足够的;适当的，恰当的;差强人意的;胜任的
heterogeneous	各种各样的;成分混杂的
accelerate	促进;（使）加快
well-versed	熟知的
manifest	vt.显示，表明;证明;使显现<br>adj.明白的，明显的<br>n.货单，旅客名单
stick/stuck	刺；卡主；容忍；棍棒，棍枝
transpired	蒸发;泄露;（事情）发生
abbreviate	缩写
dedicate	奉献，献身，专注
ephemeral	朝生暮死;短暂的
reconcile	使和解;调停，接缝平滑
incredible	不可思议，非常
trivial	微不足道
prompt	提示，激励，准时
construct	构建，组成
illusion	错觉;幻想;假象;
flat	平面，不景气
reside	居住，存在，属于
encapsulate	封装，概括
cram	填满;塞满;死记硬背;猛吃
incur/incurred	遭受;招致，引起
stuff	材料，原料，资料;塞满;填塞;啥
tier	等级;阶梯座位等的一排，一行
recap	扼要重述，概括
gravitate	被吸引;受重力作用
aspect	方面
annotation	注释
scratch	抓狂 草稿 从零开始
retrieve	取回;恢复;[计]检索;重新得到
arbitrary	乱;随意的，任性的，
criterion	规范;（批评、判断等的）标准
constrain	约束;限制;强迫;强使
homogenous	同质的，纯系的
evident	明显
annotate	&nbsp;注释
certain	某些
hassle	争论;困难的事情;麻烦的事情
reinforce	加固;强化;增援
